j1,j2,j3,j4,j5,j6
1.998,-1.645,-1.833,-1.54,1.571,0.0
1.998,-1.645,-1.833,-1.54,1.649,0.0
1.955,-1.61,-1.833,-1.501,1.667,0.013
1.955,-1.61,-1.833,-1.475,1.667,0.013
1.955,-1.61,-1.833,-1.444,1.667,0.013
1.955,-1.61,-1.833,-1.401,1.667,0.013
1.955,-1.61,-1.833,-1.353,1.667,0.013
1.955,-1.444,-2.055,-1.165,1.667,0.013
1.955,-1.492,-2.055,-1.165,1.667,0.013
1.955,-1.51,-2.055,-1.165,1.667,0.013
1.955,-1.51,-2.055,-1.165,1.724,0.013
1.955,-1.51,-2.055,-1.165,1.571,0.013
2.051,-1.51,-2.055,-1.165,1.571,0.013
2.051,-1.422,-2.134,-1.165,1.571,0.013
2.051,-1.422,-2.134,-1.13,1.571,0.013
2.051,-1.422,-2.134,-1.13,1.632,0.013
2.051,-1.422,-2.134,-1.13,1.562,0.0
2.051,-1.422,-2.134,-1.13,1.51,0.0
2.051,-1.422,-2.134,-1.13,1.58,0.0
2.051,-1.422,-2.134,-1.13,1.588,0.0
2.051,-1.422,-2.134,-1.113,1.588,0.0
2.051,-1.422,-2.134,-1.113,1.588,0.0
2.051,-1.422,-2.134,-1.113,1.51,0.0
2.051,-1.422,-2.151,-1.121,1.51,0.0
2.051,-1.422,-2.151,-1.121,1.632,0.0
1.994,-1.422,-2.151,-1.121,1.632,0.0
1.994,-1.388,-2.151,-1.121,1.632,0.0
1.994,-1.405,-2.151,-1.06,1.632,0.0
1.994,-1.427,-2.151,-1.06,1.632,0.0
1.994,-1.427,-2.151,-1.025,1.649,0.0
1.994,-1.427,-2.151,-1.034,1.649,0.0
1.929,-1.649,-1.772,-1.61,1.571,-0.087
1.998,-1.667,-1.754,-1.61,1.571,-0.087
1.998,-1.667,-1.754,-1.702,1.571,-0.087
1.998,-1.667,-1.754,-1.702,1.549,-0.087
1.998,-1.667,-1.754,-1.702,1.702,-0.087
1.998,-1.396,-2.099,-1.148,1.58,-0.087
1.998,-1.457,-2.099,-1.235,1.58,-0.087
1.998,-1.457,-2.055,-1.235,1.58,-0.087
1.998,-1.479,-2.055,-1.235,1.558,-0.087
1.998,-1.479,-2.055,-1.265,1.558,-0.087
1.998,-1.475,-2.055,-1.265,1.558,-0.087
1.998,-1.475,-2.055,-1.265,1.558,-0.087
1.998,-1.475,-2.055,-1.265,1.649,-0.087
